Ranking,Name Player,Nacionality,Current Points
1,Iga Świątek,POL,"8,501"
2,Anett Kontaveit,EST,"4,476"
3,Maria Sakkari,GRE,"4,190"
4,Paula Badosa,ESP,"4,155"
5,Ons Jabeur,TUN,"3,920"
6,Simona Halep,ROU,"3,255"
7,Aryna Sabalenka,BLR,"3,121"
8,Jessica Pegula,USA,"3,116"
9,Garbiñe Muguruza,ESP,"2,990"
10,Daria Kasatkina,RUS,"2,795"
11,Belinda Bencic,SUI,"2,765"
12,Coco Gauff,USA,"2,746"
13,Emma Raducanu,GBR,"2,742"
14,Leylah Fernandez,CAN,"2,569"
15,Jeļena Ostapenko,LAT,"2,361"
16,Beatriz Haddad,BRA,"2,317"
17,Karolína Plíšková,CZE,"2,297"
18,Danielle Collins,USA,"2,168"
19,Barbora Krejčíková,CZE,"2,163"
20,Veronika Kudermetova,RUS,"2,161"
