Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
EI ritardo,Victory,2daysago,34min,19,7,14,4.71,198CS
EI ritardo,Victory,2daysago,15min,8,0,1,9.0,91CS
EI ritardo,Defeat,5daysago,24min,5,5,4,1.8,107CS
EI ritardo,Defeat,30daysago,24min,3,4,2,1.25,142CS
EI ritardo,Victory,35daysago,29min,6,4,8,3.5,192CS
EI ritardo,Defeat,43daysago,16min,4,3,2,2.0,86CS
EI ritardo,Victory,45daysago,49min,27,8,12,4.88,269CS
EI ritardo,Defeat,45daysago,27min,0,1,0,0.0,2CS
EI ritardo,Defeat,45daysago,23min,2,9,2,0.44,121CS
EI ritardo,Victory,45daysago,35min,4,6,18,3.67,49CS
EI ritardo,Defeat,45daysago,15min,2,1,1,3.0,90CS
EI ritardo,Victory,49daysago,31min,8,6,9,2.83,193CS
EI ritardo,Victory,50daysago,22min,18,1,2,20.0,150CS
EI ritardo,Victory,51daysago,31min,10,9,6,1.78,196CS
EI ritardo,Defeat,52daysago,32min,4,10,6,1.0,160CS
EI ritardo,Victory,55daysago,38min,17,8,8,3.12,206CS
EI ritardo,Defeat,55daysago,40min,7,14,16,1.64,199CS
EI ritardo,Defeat,55daysago,31min,7,9,6,1.44,149CS
EI ritardo,Victory,55daysago,15min,9,3,9,6.0,27CS
EI ritardo,Defeat,55daysago,31min,5,7,8,1.86,150CS
