Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
Ricky lml,Victory,2020-11-19,32,16,7,7,3.29,200
Ricky lml,Victory,2020-08-23,75,15,1,42,57.0,157
Ricky lml,Victory,2020-07-22,23,7,2,7,7.0,168
Ricky lml,Defeat,2020-07-22,28,5,2,9,7.0,173
Ricky lml,Victory,2020-07-22,40,15,5,7,4.4,240
Ricky lml,Defeat,2020-07-22,18,2,4,2,1.0,76
Ricky lml,Defeat,2020-07-22,20,7,0,4,11.0,114
Ricky lml,Defeat,2020-07-22,35,4,7,14,2.57,182
Ricky lml,Victory,2020-07-22,29,9,8,17,3.25,124
Ricky lml,Victory,2020-07-22,29,15,3,4,6.33,160
Ricky lml,Defeat,2020-07-22,31,10,5,9,3.8,160
Ricky lml,Defeat,2020-07-18,16,1,3,2,1.0,63
Ricky lml,Victory,2020-07-18,37,8,7,18,3.71,52
Ricky lml,Defeat,2020-07-18,25,3,2,9,6.0,33
Ricky lml,Defeat,2020-07-18,23,3,2,13,8.0,36
Ricky lml,Victory,2020-07-18,25,2,2,15,8.5,32
Ricky lml,Defeat,2020-07-18,16,2,0,15,17.0,17
Ricky lml,Defeat,2020-07-18,17,3,2,13,8.0,29
Ricky lml,Defeat,2020-07-18,20,2,1,13,15.0,26
Ricky lml,Defeat,2020-07-18,20,0,3,7,2.33,30
Ricky lml,Victory,2020-07-18,25,0,1,7,7.0,28
Ricky lml,Defeat,2020-07-18,27,1,3,0,0.33,116
Ricky lml,Victory,2020-07-18,25,4,2,3,3.5,142
Ricky lml,Defeat,2020-07-18,37,14,8,12,3.25,187
Ricky lml,Defeat,2020-07-18,52,22,9,27,5.44,329
Ricky lml,Defeat,2020-07-17,17,0,2,5,2.5,14
Ricky lml,Defeat,2020-07-14,34,6,7,7,1.86,199
Ricky lml,Defeat,2020-07-14,36,1,12,11,1.0,138
Ricky lml,Defeat,2020-07-11,16,3,1,2,5.0,80
Ricky lml,Victory,2020-07-11,20,6,2,8,7.0,89
Ricky lml,Defeat,2020-07-11,25,2,2,18,10.0,27
Ricky lml,Defeat,2020-07-10,39,9,12,23,2.67,128
Ricky lml,Victory,2020-07-09,38,20,8,16,4.5,190
Ricky lml,Victory,2020-07-09,21,4,2,14,9.0,28
Ricky lml,Defeat,2020-07-09,40,12,9,8,2.22,196
Ricky lml,Defeat,2020-07-09,15,0,2,1,0.5,60
Ricky lml,Defeat,2020-07-09,33,9,5,6,3.0,162
Ricky lml,Victory,2020-07-08,33,3,8,6,1.12,155
Ricky lml,Victory,2020-06-30,17,3,1,11,14.0,25
Ricky lml,Victory,2020-06-29,23,0,6,6,1.0,27
Ricky lml,Defeat,2020-02-15,21,2,3,5,2.33,26
Ricky lml,Victory,2020-02-15,22,1,3,18,6.33,33
Ricky lml,Victory,2020-02-15,32,3,5,26,5.8,37
Ricky lml,Victory,2020-02-15,26,2,4,23,6.25,40
Ricky lml,Defeat,2020-02-15,16,1,5,5,1.2,27
Ricky lml,Victory,2020-02-15,26,1,6,15,2.67,27
Ricky lml,Defeat,2020-02-15,33,1,11,10,1.0,39
Ricky lml,Defeat,2020-02-15,16,0,6,5,0.83,16
Ricky lml,Defeat,2020-02-14,26,0,5,5,1.0,38
Ricky lml,Victory,2020-02-14,32,2,8,18,2.5,30
Ricky lml,Victory,2020-02-13,29,2,7,21,3.29,35
Ricky lml,Victory,2020-02-13,23,0,3,9,3.0,39
Ricky lml,Defeat,2020-02-13,20,2,5,2,0.8,24
Ricky lml,Victory,2019-12-07,26,3,8,20,2.88,30
