,Anime,Score
0,Fullmetal Alchemist: Brotherhood,9.13
1,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.13
2,Gintama°,9.08
3,Steins;Gate,9.08
4,Shingeki no Kyojin Season 3 Part 2,9.07
5,Gintama',9.05
6,Gintama: The Final,9.05
7,Gintama': Enchousen,9.04
8,Hunter x Hunter (2011),9.04
9,Fruits Basket: The Final,9.03
10,Ginga Eiyuu Densetsu,9.03
11,Gintama.,8.99
12,3-gatsu no Lion 2nd Season,8.95
13,Gintama,8.95
14,Koe no Katachi,8.95
15,Clannad: After Story,8.94
16,Violet Evergarden Movie,8.94
17,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.93
18,Code Geass: Hangyaku no Lelouch R2,8.91
19,Owarimonogatari 2nd Season,8.90
20,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88
21,Kimetsu no Yaiba: Yuukaku-hen,8.86
22,Kimi no Na wa.,8.86
23,Monster,8.84
24,Shingeki no Kyojin: The Final Season,8.83
25,Mob Psycho 100 II,8.81
26,Shingeki no Kyojin: The Final Season Part 2,8.81
27,Gintama.: Shirogane no Tamashii-hen,8.81
28,Kingdom 3rd Season,8.81
29,Kizumonogatari III: Reiketsu-hen,8.80
30,Spy x Family,8.79
31,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.79
32,Kingdom 4th Season,8.79
33,Sen to Chihiro no Kamikakushi,8.78
34,Shiguang Dailiren,8.78
35,Monogatari Series: Second Season,8.77
36,Cowboy Bebop,8.75
37,Hajime no Ippo,8.75
38,Made in Abyss: Retsujitsu no Ougonkyou,8.74
39,Mushishi Zoku Shou 2nd Season,8.74
40,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.74
41,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.73
42,Odd Taxi,8.73
43,Vinland Saga,8.73
44,86 Part 2,8.72
45,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.71
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71
47,Mushishi Zoku Shou,8.70
48,Ashita no Joe 2,8.70
49,Code Geass: Hangyaku no Lelouch,8.70
50,Great Teacher Onizuka,8.69
51,Jujutsu Kaisen,8.67
52,Made in Abyss,8.67
53,Mo Dao Zu Shi: Wanjie Pian,8.67
54,Mononoke Hime,8.67
55,Mushishi,8.67
56,Violet Evergarden,8.67
57,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.66
58,One Piece,8.66
59,Shigatsu wa Kimi no Uso,8.66
60,Hajime no Ippo: New Challenger,8.66
61,Howl no Ugoku Shiro,8.66
62,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.65
63,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.65
64,Natsume Yuujinchou Shi,8.65
65,Haikyuu!! Second Season,8.64
66,Evangelion: 3.0+1.0 Thrice Upon a Time,8.63
67,Natsume Yuujinchou Roku,8.63
68,Tengen Toppa Gurren Lagann,8.63
69,Ping Pong the Animation,8.62
70,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.62
71,Shingeki no Kyojin Season 3,8.62
72,Suzumiya Haruhi no Shoushitsu,8.62
73,Death Note,8.62
74,Mushishi Zoku Shou: Suzu no Shizuku,8.60
75,Ousama Ranking,8.60
76,Ookami Kodomo no Ame to Yuki,8.59
77,Hajime no Ippo: Rising,8.59
78,Kizumonogatari II: Nekketsu-hen,8.59
79,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58
80,Natsume Yuujinchou Go,8.58
81,Natsume Yuujinchou San,8.58
82,Shouwa Genroku Rakugo Shinjuu,8.58
83,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57
84,Yojouhan Shinwa Taikei,8.57
85,Fate/Zero 2nd Season,8.56
86,Fruits Basket 2nd Season,8.56
87,Kimi no Suizou wo Tabetai,8.56
88,Neon Genesis Evangelion: The End of Evangelion,8.55
89,Shoujo☆Kageki Revue Starlight Movie,8.55
90,Zoku Natsume Yuujinchou,8.55
91,Mushishi: Hihamukage,8.54
92,Slam Dunk,8.54
93,Bakuman. 3rd Season,8.54
94,Haikyuu!! To the Top Part 2,8.54
95,Kara no Kyoukai Movie 5: Mujun Rasen,8.54
96,Kenpuu Denki Berserk,8.54
97,Kimetsu no Yaiba,8.54
98,Gintama.: Porori-hen,8.53
99,Perfect Blue,8.53
